external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/0V5bkwV2Bd90bMLMc8JFeS'},"{'href': None, 'total': 233478}",['meme'],https://api.spotify.com/v1/artists/0V5bkwV2Bd90bMLMc8JFeS,0V5bkwV2Bd90bMLMc8JFeS,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebcf69467b0007ae1f37dee5a5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174cf69467b0007ae1f37dee5a5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178cf69467b0007ae1f37dee5a5', 'width': 160}]",IShowSpeed,51,artist,spotify:artist:0V5bkwV2Bd90bMLMc8JFeS
{'spotify': 'https://open.spotify.com/artist/6ASri4ePR7RlsvIQgWPJpS'},"{'href': None, 'total': 1840545}",['melodic rap'],https://api.spotify.com/v1/artists/6ASri4ePR7RlsvIQgWPJpS,6ASri4ePR7RlsvIQgWPJpS,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe059f569bd7f4c8d8210d64c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e059f569bd7f4c8d8210d64c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e059f569bd7f4c8d8210d64c', 'width': 160}]",iann dior,69,artist,spotify:artist:6ASri4ePR7RlsvIQgWPJpS
{'spotify': 'https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg'},"{'href': None, 'total': 29398926}","['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174437b9e2a82505b3d93ff1022', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178437b9e2a82505b3d93ff1022', 'width': 160}]",Kendrick Lamar,91,artist,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
{'spotify': 'https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5'},"{'href': None, 'total': 23588542}","['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",https://api.spotify.com/v1/artists/6l3HvQ5sa6mXTsMTB19rO5,6l3HvQ5sa6mXTsMTB19rO5,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744b053c29fd4b317ff825f0dc', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784b053c29fd4b317ff825f0dc', 'width': 160}]",J. Cole,84,artist,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
{'spotify': 'https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X'},"{'href': None, 'total': 33197208}",['pop'],https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X,6jJ0s89eD6GaHleKKya26X,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebcf5c73a5c7968862e0d28ce9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174cf5c73a5c7968862e0d28ce9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178cf5c73a5c7968862e0d28ce9', 'width': 160}]",Katy Perry,82,artist,spotify:artist:6jJ0s89eD6GaHleKKya26X
{'spotify': 'https://open.spotify.com/artist/5SXuuuRpukkTvsLuUknva1'},"{'href': None, 'total': 2339924}","['hip hop', 'rap']",https://api.spotify.com/v1/artists/5SXuuuRpukkTvsLuUknva1,5SXuuuRpukkTvsLuUknva1,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd6f2323c1971fd5a70cd0255', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d6f2323c1971fd5a70cd0255', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d6f2323c1971fd5a70cd0255', 'width': 160}]",Baby Keem,75,artist,spotify:artist:5SXuuuRpukkTvsLuUknva1
{'spotify': 'https://open.spotify.com/artist/2HPaUgqeutzr3jx5a9WyDV'},"{'href': None, 'total': 6572899}","['r&b', 'rap', 'urban contemporary']",https://api.spotify.com/v1/artists/2HPaUgqeutzr3jx5a9WyDV,2HPaUgqeutzr3jx5a9WyDV,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb957320981e31e862bc2fb844', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174957320981e31e862bc2fb844', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178957320981e31e862bc2fb844', 'width': 160}]",PARTYNEXTDOOR,78,artist,spotify:artist:2HPaUgqeutzr3jx5a9WyDV
{'spotify': 'https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM'},"{'href': None, 'total': 13948271}","['lgbtq+ hip hop', 'neo soul']",https://api.spotify.com/v1/artists/2h93pZq0e7k5yf4dywlkpM,2h93pZq0e7k5yf4dywlkpM,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebee3123e593174208f9754fab', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ee3123e593174208f9754fab', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ee3123e593174208f9754fab', 'width': 160}]",Frank Ocean,84,artist,spotify:artist:2h93pZq0e7k5yf4dywlkpM
{'spotify': 'https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms'},"{'href': None, 'total': 29951279}","['art pop', 'dance pop', 'pop']",https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,1HY2Jd0NmPuamShAr6KMms,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc8d3d98a1bccbe71393dbfbf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c8d3d98a1bccbe71393dbfbf', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c8d3d98a1bccbe71393dbfbf', 'width': 160}]",Lady Gaga,82,artist,spotify:artist:1HY2Jd0NmPuamShAr6KMms
{'spotify': 'https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny'},"{'href': None, 'total': 16141196}","['pop', 'pop r&b']",https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny,6LuN9FCkKOj5PcnpouEgny,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5be3f26e0c3aa322637a975f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745be3f26e0c3aa322637a975f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785be3f26e0c3aa322637a975f', 'width': 160}]",Khalid,82,artist,spotify:artist:6LuN9FCkKOj5PcnpouEgny
